"Skyscraper_fire","0","Q11303"
"Stabilimento_Tecnico_Triestino","0","Q1051067"
"Swimming_at_the_2002_Commonwealth_Games_–_Women's_50_metres_butterfly","3","Q5"
"Taken_Out","0","Q3624078"
"Tanks_of_Iraq","0","Q37761255"
"Tara_Air","0","Q1549591"
"The_American_Short_Story","1","Q7725634"
"The_Rolling_Stones_American_Tour_1966","1","Q1549591"
"Toronto_Film_Critics_Association_Award_for_Best_Actress","1","Q5"
"Tri-County_Conference_(Northern_Indiana)","0","Q15127012 Q9826"
"USA_Today_All-USA_high_school_football_team","0","Q5"
"Vadodara_(Lok_Sabha_constituency)","1","Q5"
"Vedha_(music_director)","1","Q11424"
"Walter_Payton_Award","1","Q5"
"West_Air_(China)","1","Q1637706"
"Ynna_Asistio","1","Q5398426"
"Yo_soy_Betty,_la_fea","0","Q3624078"
"Yū_Aoi","1","Q11424"
